3.120977411004443525e+01,1.320856161737530101e+02,8.567379996241557549e+00,6.799999999999999822e+00,8.185963596303125200e+00,9.217374897442329740e+00,9.873702446397702559e+00,1.363671514698462772e+01,9.964436762808020376e+00,8.789197915623473634e+00,9.342911751697112521e+00
1.835347378563524146e+01,8.160269603389339466e+01,1.600156242371350501e+01,1.046947945219818443e+01,8.627861844049196094e+00,1.322157328006013088e+01,8.012490249604052650e+00,1.052425769353829565e+01,8.342661445845683588e+00,7.547184905645282882e+00,8.811923740024081297e+00
2.365248401331242789e+01,1.978610623644783928e+01,2.340427311411315614e+01,1.276910333578673828e+01,1.683923988783341841e+01,1.525417975507041390e+01,1.825623181272630546e+01,1.160215497224545800e+01,3.365115154047480672e+01,3.475053956415641210e+01,3.461574786134195136e+01
2.788565939690148099e+01,2.172302925468729384e+01,1.400321391681209704e+01,2.456013029281400151e+01,2.250777643393500682e+01,2.049780476051033062e+01,2.413897263762482481e+01,3.353222330833433062e+01,4.494541133419517109e+01,1.405113518545743716e+02,5.744049094497714236e+01
3.356024433760874359e+01,1.371313239198105371e+01,1.778651174345323938e+01,2.555092953299351066e+01,3.366140222866539489e+01,9.665319446350441979e+01,2.176933852922500137e+02,1.220819396962548353e+01,9.947864092356709875e+00,9.612491872558333483e+00,6.675327707311454972e+00
2.218310167672681388e+01,2.991337493496846989e+01,1.914053290794172213e+01,4.725251316067749485e+01,1.159586564254691581e+02,2.198886309021000613e+02,9.143850392476901234e+00,1.280820049811838324e+01,8.342661445845683588e+00,8.797726979169109285e+00,8.754427451295715201e+00
4.125057575355766915e+01,2.583873061897584833e+01,2.734666341621953478e+01,2.456827222252309895e+01,2.201147200893207128e+02,2.581195265763518591e+02,9.550392662084632889e+00,1.455197581086499703e+01,8.623224454924038440e+00,2.706396312442063845e+02,2.683538894817811524e+02
2.623146965002151632e+01,1.568948692596415029e+01,3.341616375348911561e+01,8.986039171960024419e+01,2.618522675097544266e+02,2.666908322383804943e+02,9.254188241007419435e+00,3.558461605806644457e+02,8.726969691708571730e+00,2.696349383889261730e+02,2.691557355881535045e+02
3.321881996700063411e+01,2.903256791949344162e+01,3.008471372640929431e+01,7.846808268334329739e+01,1.880432131186871629e+02,1.178532986386040875e+02,1.066958293467931185e+01,9.954396013822234934e+00,8.343260753446459788e+00,2.706416265100399983e+02,4.117444474428282888e+02
2.093418257300724150e+01,4.117037770047780043e+01,4.627353455270085192e+01,1.427626001444355950e+02,2.530810344533939826e+02,7.605261336732617394e+00,2.655628739112453331e+02,3.613851684837107427e+02,2.701675221043417423e+02,4.109927128307751332e+02,4.117692193450112654e+02
