0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.712500000000000000e+01,-1.000000000000000000e+00,-9.000000000000000000e+00,-4.225000000000000000e+01,-1.125000000000000000e+00
-3.237500000000000000e+01,-3.625000000000000000e+00,8.212500000000000000e+01,-4.037500000000000000e+01,8.725000000000000000e+01
-1.192500000000000000e+02,-1.475000000000000000e+01,2.925000000000000000e+01,9.212500000000000000e+01,1.787500000000000000e+02
-2.496250000000000000e+02,-4.550000000000000000e+01,1.387500000000000000e+01,-3.875000000000000000e+00,4.250000000000000000e+01
-3.263750000000000000e+02,-1.375000000000000000e+01,7.625000000000000000e+01,4.312500000000000000e+01,8.775000000000000000e+01
-3.611250000000000000e+02,-5.012500000000000000e+01,7.600000000000000000e+01,-5.450000000000000000e+01,9.000000000000000000e+01
-4.020000000000000000e+02,-4.925000000000000000e+01,2.900000000000000000e+01,-5.675000000000000000e+01,-5.662500000000000000e+01
-3.395000000000000000e+02,-9.912500000000000000e+01,1.925000000000000000e+01,-1.775000000000000000e+01,1.812500000000000000e+02
-4.036250000000000000e+02,-2.248750000000000000e+02,1.587500000000000000e+01,-8.000000000000000000e+00,1.732500000000000000e+02
-4.036250000000000000e+02,-2.613750000000000000e+02,7.750000000000000000e+00,-1.162500000000000000e+01,2.227500000000000000e+02
