1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,9.727000000000000455e+02,2.457000000000000171e+02,1.730000000000000000e+02
1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+03,4.858000000000000114e+02,2.040999999999999943e+02,3.640999999999999659e+02,9.343999999999999773e+02,9.312000000000000455e+02,9.250000000000000000e+02,9.238999999999999773e+02
1.000000000000000000e+03,1.000000000000000000e+03,2.549000000000000057e+02,2.556999999999999886e+02,9.435000000000000000e+02,9.355000000000000000e+02,8.453999999999999773e+02,8.407999999999999545e+02,8.426000000000000227e+02,7.558999999999999773e+02
1.000000000000000000e+03,3.585000000000000000e+02,2.430999999999999943e+02,5.793000000000000682e+02,9.342000000000000455e+02,9.366000000000000227e+02,7.623999999999999773e+02,6.758999999999999773e+02,4.293000000000000114e+02,8.391999999999999318e+02
7.990000000000000000e+02,2.753999999999999773e+02,2.756000000000000227e+02,9.431999999999999318e+02,7.637999999999999545e+02,7.695000000000000000e+02,6.752999999999999545e+02,8.378999999999999773e+02,5.952000000000000455e+02,8.326000000000000227e+02
5.912000000000000455e+02,2.591999999999999886e+02,4.421999999999999886e+02,9.396999999999999318e+02,9.372999999999999545e+02,9.296999999999999318e+02,5.166000000000000227e+02,5.865000000000000000e+02,8.358999999999999773e+02,5.111000000000000227e+02
3.478999999999999773e+02,2.858000000000000114e+02,5.105000000000000000e+02,9.502000000000000455e+02,9.338999999999999773e+02,7.655000000000000000e+02,7.532999999999999545e+02,6.736000000000000227e+02,6.735999999999999091e+02,5.105000000000000000e+02
3.033000000000000114e+02,2.663999999999999773e+02,5.924000000000000909e+02,9.357999999999999545e+02,8.487999999999999545e+02,7.536999999999999318e+02,5.168999999999999773e+02,5.081999999999999886e+02,4.368999999999999773e+02,5.816000000000000227e+02
3.131999999999999886e+02,2.781999999999999886e+02,6.390000000000000000e+02,9.415000000000000000e+02,7.608000000000000682e+02,6.792999999999999545e+02,8.346000000000000227e+02,7.633999999999999773e+02,5.101999999999999886e+02,4.276999999999999886e+02
3.396000000000000227e+02,2.911999999999999886e+02,6.292000000000000455e+02,8.631000000000000227e+02,8.580000000000000000e+02,7.596000000000000227e+02,8.393999999999999773e+02,5.107999999999999545e+02,8.381000000000000227e+02,5.055000000000000000e+02
