7.709999999999999432e+01,5.739999999999999858e+01,1.110999999999999943e+02,1.077999999999999972e+02,2.111999999999999886e+02
9.079999999999999716e+01,5.820000000000000284e+01,1.182999999999999972e+02,1.415999999999999943e+02,2.120999999999999943e+02
1.030000000000000000e+02,6.029999999999999716e+01,4.539999999999999858e+01,1.400999999999999943e+02,1.414000000000000057e+02
1.725000000000000000e+02,6.920000000000000284e+01,8.770000000000000284e+01,3.410000000000000142e+01,6.820000000000000284e+01
2.768000000000000114e+02,9.379999999999999716e+01,1.000000000000000000e+02,1.109000000000000057e+02,1.771999999999999886e+02
3.381999999999999886e+02,6.840000000000000568e+01,5.010000000000000142e+01,7.329999999999999716e+01,1.410000000000000000e+02
3.660000000000000000e+02,9.750000000000000000e+01,5.029999999999999716e+01,1.514000000000000057e+02,1.391999999999999886e+02
3.986999999999999886e+02,9.679999999999999716e+01,8.790000000000000568e+01,1.531999999999999886e+02,2.565000000000000000e+02
3.486999999999999886e+02,1.366999999999999886e+02,9.570000000000000284e+01,1.220000000000000000e+02,6.620000000000000284e+01
4.000000000000000000e+02,2.373000000000000114e+02,9.840000000000000568e+01,1.142000000000000028e+02,7.259999999999999432e+01
4.000000000000000000e+02,2.665000000000000000e+02,1.049000000000000057e+02,1.170999999999999943e+02,3.300000000000000000e+01
