9.879999999999999716e+01,1.015999999999999943e+02,1.055000000000000000e+02,9.629999999999999716e+01,9.340000000000000568e+01,1.007000000000000028e+02,9.690000000000000568e+01,9.850000000000000000e+01,8.429999999999999716e+01
9.729999999999999716e+01,9.959999999999999432e+01,1.082000000000000028e+02,9.440000000000000568e+01,6.060000000000000142e+01,4.139999999999999858e+01,3.050000000000000000e+01,3.520000000000000284e+01,2.039999999999999858e+01
1.012999999999999972e+02,1.002000000000000028e+02,9.990000000000000568e+01,4.329999999999999716e+01,3.870000000000000284e+01,2.919999999999999929e+01,3.229999999999999716e+01,5.929999999999999716e+01,5.170000000000000284e+01
9.670000000000000284e+01,1.020000000000000000e+02,6.239999999999999858e+01,3.920000000000000284e+01,5.320000000000000284e+01,2.869999999999999929e+01,4.470000000000000284e+01,3.700000000000000000e+01,3.650000000000000000e+01
9.850000000000000000e+01,9.190000000000000568e+01,5.879999999999999716e+01,4.239999999999999858e+01,3.750000000000000000e+01,3.119999999999999929e+01,2.789999999999999858e+01,4.350000000000000000e+01,3.260000000000000142e+01
1.044000000000000057e+02,7.809999999999999432e+01,5.670000000000000284e+01,3.679999999999999716e+01,4.789999999999999858e+01,4.210000000000000142e+01,1.719999999999999929e+01,5.920000000000000284e+01,4.450000000000000000e+01
9.800000000000000000e+01,8.040000000000000568e+01,9.900000000000000000e+01,4.960000000000000142e+01,4.429999999999999716e+01,6.200000000000000000e+01,3.389999999999999858e+01,5.100000000000000000e+01,5.029999999999999716e+01
9.970000000000000284e+01,7.279999999999999716e+01,6.520000000000000284e+01,3.270000000000000284e+01,5.160000000000000142e+01,4.510000000000000142e+01,2.310000000000000142e+01,3.579999999999999716e+01,4.970000000000000284e+01
9.850000000000000000e+01,7.400000000000000000e+01,5.060000000000000142e+01,3.270000000000000284e+01,4.410000000000000142e+01,4.539999999999999858e+01,5.379999999999999716e+01,6.620000000000000284e+01,4.279999999999999716e+01
9.979999999999999716e+01,7.509999999999999432e+01,5.529999999999999716e+01,3.670000000000000284e+01,5.650000000000000000e+01,3.950000000000000000e+01,7.509999999999999432e+01,6.970000000000000284e+01,6.429999999999999716e+01
